エリア,会社名,対応可否,優先順位,連絡先メール,電話番号,担当者名,民泊清掃実績,提携ステータス,直近の反応日,備考
全国対応,M's B（エムズビー）,,,info@ms-b.jp,,,有,未接触,,大阪拠点/全国対応。料金35㎡6600円〜。問合せ https://ms-b.jp/contact/
全国対応,Kirei One,,,,,,有,未接触,,全国対応/6600円〜/当日相談可。https://kireione.co.jp/service/archives/180 ※サイト要問合せ
全国対応,おそうじ革命（民泊清掃）,,,,,,有,未接触,,全国FC・地域ごとに支店。例 https://www.osoujikakumei.jp/business-cleaning/bnb-cleaning/
札幌,Rクリーンサービス,,,,,,有,未接触,,札幌・旭川拠点/道内420物件。https://r-clean-service-sapporo.com/
札幌,CleanNest Hokkaido,,,,,,有,未接触,,札幌インバウンド専門・ホテル品質。https://www.cleannest-hokkaido.jp/
札幌,C2Cclean,,,,,,有,未接触,,札幌の民泊清掃・リネンサプライ。https://c2c.link/
札幌,AKINASHI（ダブルバケーション）,,,,,,有,未接触,,北海道特化・道内13ヶ所対応。https://worldwidebase.co.jp/service/minpaku/
小樽,AKINASHI（ダブルバケーション）,,,,,,有,未接触,,小樽含む道内対応。https://worldwidebase.co.jp/service/minpaku/
小樽,北海道貸別荘民泊運営代行,,,,,,有,未接触,,札幌・小樽・函館ほか道内全域。https://minpaku-agency.com/management/hokkaido/
ニセコ,AKINASHI（ダブルバケーション）,,,,,,有,未接触,,ニセコ町・倶知安町対応。https://worldwidebase.co.jp/service/minpaku/
ニセコ,,,,,,,不明,未接触,,運営代行7選 https://bizpato.com/minpaku/niseko/ で地元業者を要確認／全国対応3社も可
富良野,AKINASHI（ダブルバケーション）,,,,,,有,未接触,,富良野市対応。https://worldwidebase.co.jp/service/minpaku/
美瑛,AKINASHI（ダブルバケーション）,,,,,,有,未接触,,美瑛町対応。https://worldwidebase.co.jp/service/minpaku/
仙台,,,,,,,不明,未接触,,地元業者はくらしのマーケット宮城/ゼヒトモで要確認／全国対応3社でも対応可
松島,,,,,,,不明,未接触,,宮城・松島。近隣仙台の業者＋全国対応3社でカバー。地元業者は要確認
山形,おそうじ革命 山形市,,,,,,有,未接触,,山形市の民泊清掃。https://www.osoujikakumei.jp/business-cleaning/bnb-cleaning/yamagata/yamagata-shi/
山形,,,,,,,不明,未接触,,まっちるで地元業者を要確認 https://matchru.jp/house-cleaning/indoor-outdoor/vacation-rental-cleaning/a/yamagata
村上,,,,,,,不明,未接触,,新潟・村上。全国対応3社＋くらしのマーケット新潟で地元業者を要確認
鎌倉,株式会社LOGPOSE,,,,,,有,未接触,,ホテル清掃出身・累計5万件超。神奈川対応。※要問合せ
鎌倉,,,,,,,不明,未接触,,鎌倉限定プラン https://curama.jp/vacation-rental-cleaning/SER057271488/ ／おうちプロ5700円〜
横浜,株式会社LOGPOSE,,,,,,有,未接触,,横浜・神奈川対応。累計5万件超。※要問合せ
横浜,インビックス（BICS MINPAKU）,,,,,,有,未接触,,神奈川・静岡の民泊清掃。https://bicsminpaku.com/
箱根,インビックス（BICS MINPAKU）,,,,,,有,未接触,,箱根・湯河原・小田原・熱海。https://bicsminpaku.com/
箱根,ユーライフ,,,,,,有,未接触,,熱海・伊豆・箱根の別荘管理/民泊清掃。https://www.youlife.jp/
箱根,泊清舎,,,,,,有,未接触,,湯河原・真鶴・熱海・箱根・伊東。https://hakuseisha-clean.com/
箱根,いずみや,,,,,,有,未接触,,箱根の民泊清掃3500円〜。https://www.hakoneminpaku.com/
箱根,ホテルクリーンサービス箱根,,,,,,有,未接触,,https://hotelclean-hakone.com/
日光,GO!GO!那須日光,,,,,,有,未接触,,那須・那須塩原・日光の運営代行/清掃。https://gogonasu.jp/
日光,NikkoR,,,,,,有,未接触,,日光専門の民泊運営サービス。https://nikko.min-pak.com/
那須,GO!GO!那須日光,,,,,,有,未接触,,那須・那須塩原・日光。https://gogonasu.jp/
那須,那須民泊代行（PiPi Hosting）,,,,,,有,未接触,,那須の民泊代行。https://pipihosting-nasu.com/
河口湖,おそうじぽん,,,,,,有,未接触,,富士河口湖町創業・富士山周辺200室超。https://osojipon.com/
河口湖,百職,,,,,,有,未接触,,富士五湖エリアの宿泊清掃・運営。https://100shoku.net/
河口湖,C.S.Omotenashi（C.S.O）,,,,,,有,未接触,,富士五湖の民泊清掃代行。https://www.c-s-omotenashi.com/
河口湖,株式会社TOCORO.,,,,,,有,未接触,,宿泊施設の運営事業。https://tocoro.co.jp/
富士吉田,おそうじぽん,,,,,,有,未接触,,富士山周辺の民泊管理清掃。https://osojipon.com/
富士吉田,百職,,,,,,有,未接触,,富士五湖エリア。https://100shoku.net/
富士吉田,株式会社アスティ,,,,,,有,未接触,,富士吉田の別荘・民泊清掃。https://asty-recruit.com/detail4.html
軽井沢,,,,,,,不明,未接触,,軽井沢・北軽井沢・嬬恋の運営代行4選 https://bizpato.com/minpaku/karuizawa/ ／全国対応3社も可
北杜,,,,,,,不明,未接触,,山梨・北杜。富士五湖の業者（おそうじぽん等）近隣＋全国対応3社でカバー。要確認
熱海,インビックス（BICS MINPAKU）,,,,,,有,未接触,,箱根・熱海・小田原。https://bicsminpaku.com/
熱海,ユーライフ,,,,,,有,未接触,,熱海市・伊東市・伊豆。https://www.youlife.jp/
熱海,泊清舎,,,,,,有,未接触,,熱海・湯河原・伊東。https://hakuseisha-clean.com/
名古屋,株式会社アンドシェア,,,,,,有,未接触,,名古屋の民泊運営＋清掃代行。https://and-share.jp/cleaning
名古屋,名古屋民泊清掃lmsclean,,,,,,有,未接触,,水回り重点・写真報告。http://www.lmsclean.jp/
名古屋,株式会社E.I,,,,,,有,未接触,,愛知・名古屋の家事/民泊清掃。https://www.ei-housekeeper.com/guesthouse
高山,コズネス,,,,,,有,未接触,,飛騨高山・現地密着の民泊運営/清掃。https://cozness.com/
金沢,株式会社PQD,,,,,,有,未接触,,金沢のホテル・民泊運営代行。https://jmty.jp/ishikawa/ser-oth/article-la0vg
金沢,グッドネイバーズ,,,,,,有,未接触,,金沢のホテル・民泊運営代行・駆けつけ。https://goodneighbors.co/operations/
伊勢,三愛グループ 伊勢ライフサポート,,,,,,有,未接触,,伊勢市の民泊清掃。税込30000円〜。ouchipro掲載 https://ouchipro.com/housecleaning/mie/c24203/type=homestay/
伊勢,民泊代行みえ,,,,,,有,未接触,,三重の空き家民泊運営・清掃代行。https://minpakudaikoumie.hp.peraichi.com/minpakudaikoumie/
京都,京都ヴィジターズ,,,,,,有,未接触,,民泊専用お掃除代行。https://kyotosouji.com/
京都,京都クリーンサービス,,,,,,有,未接触,,清掃・リネン・食器・水回り。https://kyotohouseclean.com/service/airbnb.php
京都,M'sコーポレーション,,,,,,有,未接触,,京都の民泊清掃・簡易宿所許可。https://www.kyoto-ms2016.co.jp/works/cleaning/
京都,Bees（ビーズ）,,,,,,有,未接触,,京都にリネン倉庫・5500円〜。https://bees.cleaning/
京都,京都パートナーズ,,,,,,有,未接触,,京都6年以上の運営代行・清掃。http://kyotopartners.jp/cleanup/
